total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
448,1588,166,426,0,0,27,7,0,0,0,3,0,2036,166,426,592,27,7,34,2015-12-01,2015-12-31,Dez. 2015
330,1835,117,350,35,0,21,10,11,0,0,2,1,2165,152,350,502,32,10,42,2015-11-01,2015-11-30,Nov. 2015
284,2106,61,262,85,2,9,11,19,0,0,2,0,2390,146,264,410,28,11,39,2015-10-01,2015-10-31,Okt. 2015
336,2658,47,311,101,11,6,16,16,0,0,5,0,2994,148,322,470,22,16,38,2015-09-01,2015-09-30,Sep. 2015
326,3505,56,204,80,1,9,11,12,1,0,14,0,3831,136,205,341,21,12,33,2015-08-01,2015-08-31,Aug. 2015
6909,2856,48,19,53,0,5,1,6,0,0,6,1,9765,101,19,120,11,1,12,2015-07-01,2015-07-31,Juli 2015
15,106,31,23,10,0,4,1,1,0,0,1,0,121,41,23,64,5,1,6,2015-06-01,2015-06-30,Juni 2015
0,0,42,14,10,0,5,1,0,0,0,0,0,0,52,14,66,5,1,6,2015-05-01,2015-05-31,Mai 2015
0,0,49,7,5,0,5,1,0,0,0,0,0,0,54,7,61,5,1,6,2015-04-01,2015-04-30,Apr. 2015
0,0,65,2,5,0,6,0,0,0,0,1,0,0,70,2,72,6,0,6,2015-03-01,2015-03-31,Mär. 2015
0,0,52,3,9,0,9,0,0,0,0,8,0,0,61,3,64,9,0,9,2015-02-01,2015-02-28,Feb. 2015
0,0,55,7,17,0,9,0,1,0,0,25,0,0,72,7,79,10,0,10,2015-01-01,2015-01-31,Jan. 2015
0,0,62,10,15,0,5,0,1,0,0,59,0,0,77,10,87,6,0,6,2014-12-01,2014-12-31,Dez. 2014
0,0,58,8,9,0,6,1,1,0,0,1,0,0,67,8,75,7,1,8,2014-11-01,2014-11-30,Nov. 2014
0,0,84,17,16,0,11,1,0,0,0,1,0,0,100,17,117,11,1,12,2014-10-01,2014-10-31,Okt. 2014
304,464,68,6,18,0,4,2,0,0,0,5,0,768,86,6,92,4,2,6,2014-09-01,2014-09-30,Sep. 2014
475,92,60,21,18,0,3,0,3,0,0,1,0,567,78,21,99,6,0,6,2014-08-01,2014-08-31,Aug. 2014
555,118,69,21,8,0,6,0,1,0,0,1,0,673,77,21,98,7,0,7,2014-07-01,2014-07-31,Juli 2014
877,86,158,15,30,0,11,2,0,0,0,0,2,963,188,15,203,11,2,13,2014-06-01,2014-06-30,Juni 2014
678,127,97,36,21,2,15,0,3,0,0,0,0,805,118,38,156,18,0,18,2014-05-01,2014-05-31,Mai 2014
592,680,128,31,32,0,14,2,4,0,0,2,0,1272,160,31,191,18,2,20,2014-04-01,2014-04-30,Apr. 2014
645,111,110,24,31,0,9,1,4,0,0,0,0,756,141,24,165,13,1,14,2014-03-01,2014-03-31,Mär. 2014
784,46,84,12,15,0,7,0,0,0,0,2,0,830,99,12,111,7,0,7,2014-02-01,2014-02-28,Feb. 2014
766,283,101,12,21,0,8,0,4,0,0,6,0,1049,122,12,134,12,0,12,2014-01-01,2014-01-31,Jan. 2014
571,168,86,26,37,1,7,3,6,0,0,2,0,739,123,27,150,13,3,16,2013-12-01,2013-12-31,Dez. 2013
705,231,99,25,24,0,11,0,2,0,0,8,0,936,123,25,148,13,0,13,2013-11-01,2013-11-30,Nov. 2013
3725,122,126,9,6,1,11,0,1,0,0,3,0,3847,132,10,142,12,0,12,2013-10-01,2013-10-31,Okt. 2013
4422,122,76,15,2,0,7,2,1,0,0,1,0,4544,78,15,93,8,2,10,2013-09-01,2013-09-30,Sep. 2013
4285,182,51,11,2,0,5,1,1,0,0,0,0,4467,53,11,64,6,1,7,2013-08-01,2013-08-31,Aug. 2013
3912,237,69,13,3,0,5,3,2,0,0,1,1,4149,72,13,85,7,3,10,2013-07-01,2013-07-31,Juli 2013
3362,120,80,9,4,0,10,1,1,0,0,3,0,3482,84,9,93,11,1,12,2013-06-01,2013-06-30,Juni 2013
3177,34,97,13,5,0,7,3,1,0,0,4,0,3211,102,13,115,8,3,11,2013-05-01,2013-05-31,Mai 2013
4023,28,131,6,9,0,12,1,1,0,0,3,0,4051,140,6,146,13,1,14,2013-04-01,2013-04-30,Apr. 2013
4617,51,116,7,4,0,10,1,0,0,0,3,0,4668,120,7,127,10,1,11,2013-03-01,2013-03-31,Mär. 2013
4146,36,101,5,3,0,9,0,0,0,0,5,0,4182,104,5,109,9,0,9,2013-02-01,2013-02-28,Feb. 2013
4301,63,104,6,3,0,22,1,0,0,0,4,0,4364,107,6,113,22,1,23,2013-01-01,2013-01-31,Jan. 2013
5672,81,190,4,5,0,19,0,0,0,0,0,0,5753,195,4,199,19,0,19,2012-12-01,2012-12-31,Dez. 2012
5998,68,258,7,29,0,29,0,4,0,0,7,0,6066,287,7,294,33,0,33,2012-11-01,2012-11-30,Nov. 2012
4748,162,314,7,73,0,24,1,7,0,0,9,0,4910,387,7,394,31,1,32,2012-10-01,2012-10-31,Okt. 2012
4405,186,273,7,77,0,37,0,9,0,1,2,0,4591,350,7,357,46,0,46,2012-09-01,2012-09-30,Sep. 2012
5513,135,243,9,68,0,32,1,6,0,0,7,0,5648,311,9,320,38,1,39,2012-08-01,2012-08-31,Aug. 2012
6331,81,176,9,52,0,17,1,6,0,0,0,0,6412,228,9,237,23,1,24,2012-07-01,2012-07-31,Juli 2012
6389,78,205,12,53,0,21,2,5,0,0,6,1,6467,258,12,270,26,2,28,2012-06-01,2012-06-30,Juni 2012
4876,77,257,6,86,0,38,2,8,0,0,2,0,4953,343,6,349,46,2,48,2012-05-01,2012-05-31,Mai 2012
5500,36,364,6,149,0,45,0,23,0,0,2,0,5536,513,6,519,68,0,68,2012-04-01,2012-04-30,Apr. 2012
4313,29,128,7,57,0,14,1,14,0,0,0,0,4342,185,7,192,28,1,29,2012-03-01,2012-03-31,Mär. 2012
3892,24,56,3,42,0,4,0,4,0,0,0,0,3916,98,3,101,8,0,8,2012-02-01,2012-02-29,Feb. 2012
2351,89,72,11,56,0,9,0,12,0,0,2,0,2440,128,11,139,21,0,21,2012-01-01,2012-01-31,Jan. 2012
3334,26,97,5,133,0,7,0,13,0,0,0,0,3360,230,5,235,20,0,20,2011-12-01,2011-12-31,Dez. 2011
3777,100,213,10,429,0,29,0,55,0,0,1,0,3877,642,10,652,84,0,84,2011-11-01,2011-11-30,Nov. 2011
2877,95,151,5,80,0,17,0,8,0,0,0,0,2972,231,5,236,25,0,25,2011-10-01,2011-10-31,Okt. 2011
4047,146,154,4,61,0,27,0,8,0,0,2,7,4193,215,4,219,35,0,35,2011-09-01,2011-09-30,Sep. 2011
3994,144,187,6,55,0,26,1,15,0,0,1,0,4138,242,6,248,41,1,42,2011-08-01,2011-08-31,Aug. 2011
2448,320,134,6,61,0,24,0,17,0,0,0,0,2768,195,6,201,41,0,41,2011-07-01,2011-07-31,Juli 2011
1285,141,70,11,40,0,14,0,5,0,0,0,0,1426,110,11,121,19,0,19,2011-06-01,2011-06-30,Juni 2011
932,112,115,13,21,0,17,2,1,0,0,1,0,1044,136,13,149,18,2,20,2011-05-01,2011-05-31,Mai 2011
1881,156,62,16,23,0,6,1,4,0,0,5,0,2037,85,16,101,10,1,11,2011-04-01,2011-04-30,Apr. 2011
3125,160,85,15,34,0,8,0,7,0,0,2,1,3285,119,15,134,15,0,15,2011-03-01,2011-03-31,Mär. 2011
3132,184,209,12,192,0,16,1,33,0,0,0,0,3316,401,12,413,49,1,50,2011-02-01,2011-02-28,Feb. 2011
3581,317,83,22,164,0,21,4,30,0,0,0,0,3898,247,22,269,51,4,55,2011-01-01,2011-01-31,Jan. 2011
2879,433,1704,31,34,0,13,5,7,0,0,0,0,3312,1738,31,1769,20,5,25,2010-12-01,2010-12-31,Dez. 2010
3916,264,116,5,30,0,25,0,3,0,0,0,0,4180,146,5,151,28,0,28,2010-11-01,2010-11-30,Nov. 2010
3147,178,98,0,6,0,12,0,2,0,0,0,1,3325,104,0,104,14,0,14,2010-10-01,2010-10-31,Okt. 2010
1767,120,44,0,0,0,10,0,0,0,0,0,0,1887,44,0,44,10,0,10,2010-09-01,2010-09-30,Sep. 2010
909,73,47,0,0,0,14,0,0,0,0,0,0,982,47,0,47,14,0,14,2010-08-01,2010-08-31,Aug. 2010
419,22,8,0,0,0,1,0,0,0,0,0,0,441,8,0,8,1,0,1,2010-07-01,2010-07-31,Juli 2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-06-01,2010-06-30,Juni 2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-05-01,2010-05-31,Mai 2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-04-01,2010-04-30,Apr. 2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-03-01,2010-03-31,Mär. 2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-02-01,2010-02-28,Feb. 2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-01,2010-01-31,Jan. 2010