Video,Video ID,Video length (minutes),Video created,Comments,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
LibreOffice - Calc - Autoformatierung von Tabellenbereichen (Autoformat),e96ob1K1iPo,2.70,"Mar 20, 2015",1,34,48,1,1.41,52.29,6,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0
Python-Programmierung - weitere Listen-Methoden,Ou9EgFglk5k,3.12,"Jul 08, 2011",1,180,301,5,1.67,53.63,26,43,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
Matplotlib und Pylab - Installation,Ctc5tzbB_yc,5.18,"Jul 10, 2012",1,974,774,13,0.79,15.32,5,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,1,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,-4,1,5,0,0,0
Firefox - Leseansicht,8XXGNZ_EScc,2.77,"Jun 16, 2015",1,89,124,2,1.39,50.27,18,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Python-Programmierung - Modul webbrowser,bKYgXPr3BnA,2.43,"Feb 23, 2015",1,172,167,3,0.97,39.91,37,48,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,1,0,0,0,4,6,2,0,0,0
Mit nethogs ermitteln wie viel Bandbreite die einzelnen Prozesse nutzen,oynPlZWgzzc,2.33,"Mar 02, 2015",1,62,71,1,1.15,49.29,22,39,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0
GIMP - Bildschirm durchsichtig machen,U9uDblQ9SGk,6.02,"Mar 04, 2014",1,165,245,4,1.49,24.71,1,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,3,5,2,0,0,0
Ubuntu 12.04 LTS - Demo,pCK8HCyQw8w,4.42,"Apr 26, 2012",1,994,1321,22,1.33,30.08,4,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
HTML und CSS - Ein Bild einfügen (img),diiikCQbmlA,4.02,"Apr 29, 2015",1,160,204,3,1.27,31.71,9,24,1,2,50.00,1,158,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,1,1,0,0,0,0,0,0,0,2,3,1,0,0,0
SD-Karte des Raspberry Pi mit dd sichern,3yAjv-ky8io,6.05,"Jan 01, 2014",1,102,184,3,1.80,29.82,30,40,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,1,1,0,-1,0,1
Privacy Badger - die Datenschutz-Erweiterung für Firefox,WuYDbB6Mr3A,3.05,"May 04, 2014",1,389,456,8,1.17,38.44,5,14,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AngularJS - Ereignisdirektiven (Event: ng-click),qrRlIl1E6xw,3.90,"Jul 31, 2015",1,89,145,2,1.63,41.86,7,10,4,6,66.67,7,66,10.61,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,30,0.00,30,0,1,1,0,0,0,0,0,0,0,3,5,2,0,0,0
LibreOffice - Calc - Bedingte Formatierungen,F1aoLGhEY-w,4.62,"Apr 30, 2015",1,353,798,13,2.26,48.94,11,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,4,5,1,0,0,0
Linktipp - Lerne X in Y Minuten,912UNZmcRWs,1.78,"Sep 02, 2015",1,43,47,1,1.10,61.66,30,30,0,0,0.00,0,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Semplice Linux 7 - Demo,IIVSK_XjOXY,5.33,"Apr 10, 2015",1,800,933,16,1.17,21.87,24,32,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,1,1,0,0,0,0,0,2,5,3,0,0,0
"Python-Programmierung - Das erste ""nützliche"" Programm",V9XBq57NrIw,5.50,"Sep 04, 2013",1,1658,4005,67,2.42,43.92,57,178,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,1,1,0,0,0,0,0,2,4,2,-1,0,1
LibreOffice - Calc - Schrift formatieren,piBTq1NOYR0,2.85,"Feb 17, 2015",1,10,7,0,0.70,24.45,1,1,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Präsentationen mit Markdown und remark.js,klnPM15jqg4,3.40,"Mar 25, 2015",1,146,220,4,1.51,44.40,21,49,1,2,50.00,2,86,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0
_xHtiRtmqo8,_xHtiRtmqo8,,,1,3,7,0,2.22,36.74,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenStreetMap ab sofort mit Routenplaner,4R3G2dKxl5w,3.53,"Feb 18, 2015",1,77,135,2,1.76,49.69,12,29,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,2,1,0,0,0,0,0,0,0,2,3,1,0,0,0
Git für Einsteiger - Branches anlegen,_g8ItehO7gA,3.13,"Jul 30, 2015",1,42,59,1,1.39,44.48,21,33,0,0,0.00,0,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Firefox OS auf Aktualisierungen prüfen,YaE2b2CIAsw,1.22,"Feb 17, 2015",1,17,10,0,0.59,48.26,5,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ImageMagick - Bilder mit Text erstellen,Elgy5zfAf9Y,3.40,"Aug 27, 2013",1,97,134,2,1.38,40.54,1,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LibreOffice - Calc - Zellen mit Textdaten,jBAiqEJ4U24,2.35,"Mar 05, 2015",1,21,31,1,1.49,63.47,6,6,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
 -QYOoIOeP-A, -QYOoIOeP-A,,,1,4,10,0,2.42,27.26,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xubuntu 15.04 Beta 1 - Demo,cpCBWuxcpig,5.73,"Feb 27, 2015",1,342,391,7,1.14,19.92,27,22,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,2,4,2,0,0,0
Git für Einsteiger - Allgemeines zum Branching,rvBXmjXqpN8,2.77,"Mar 29, 2015",1,48,58,1,1.20,43.31,22,35,0,0,0.00,0,42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,4,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Easy Game Scripting mit Lua (EGSL) - ein Beispiel,wvpfUnOVug0,8.23,"Dec 08, 2013",1,32,61,1,1.89,23.00,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,26,0.00,8,26,30.77,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KDE Plasma 5.2 - Demo (mit KaOS und Netrunner 15),dLV0Z5VXjVs,6.23,"Feb 16, 2015",1,725,823,14,1.14,18.22,28,53,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,4,0,1,1,0,0,0,0,0,3,5,2,0,0,0
Processing installieren und starten,OF4nZfgfdiE,4.63,"Sep 20, 2015",1,76,138,2,1.82,39.21,34,61,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0
HTML und CSS - HTML-Elemente,1rjhqpDHGCM,2.47,"Mar 24, 2015",1,38,46,1,1.22,49.30,16,21,0,2,0.00,1,34,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,2,4,2,0,0,0
Gnome - einfache Bildschirmaufnahmen mit EasyScreenCast (Linux), -JFC6J8rg5Q,3.08,"Jun 27, 2015",1,76,113,2,1.49,48.34,33,52,0,0,0.00,0,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,4,7,3,0,0,0
R - Zeichenketten,53Q4s6MLCfM,3.87,"Mar 22, 2015",1,32,48,1,1.50,38.86,20,28,0,0,0.00,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,3,5,2,0,0,0
HTML und CSS - Ein HTML-Dokument erstellen,vA3ATuPb_4s,4.27,"Mar 24, 2015",1,51,103,2,2.01,47.19,15,34,0,0,0.00,0,55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,2,4,2,0,0,0
LibreOffice - Calc - Zellhintergrund,6ali5GW_HjE,1.58,"Feb 26, 2015",1,20,10,0,0.50,31.54,4,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0
AngularJS - Listen,QvQuB0PfrBA,7.02,"Feb 20, 2015",1,122,362,6,2.97,42.33,17,31,4,10,40.00,5,116,4.31,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Live-DVDs mit Anonymisierungsdiensten,8N1cOrfTRec,2.47,"Sep 18, 2015",1,63,72,1,1.15,46.62,23,28,0,0,0.00,0,52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,3,1,0,0,0,0,0,0,0,9,11,2,0,0,0
Python-Programmierung - Funktionen (Teil 2),gK6s5EFjHm4,4.73,"Sep 13, 2011",1,180,387,6,2.15,45.39,22,37,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux - USB-Sticks als Bootmedium vorbereiten,AcmlAMFIl_8,3.23,"Sep 19, 2015",1,62,93,2,1.50,46.27,20,34,0,1,0.00,6,55,10.91,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0
Linktipp: Linux - The Art of Command Line,byOfOmhN-tU,1.27,"Jun 24, 2015",1,83,60,1,0.72,56.86,41,37,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Sonic Pi - Musik und Programmierung (Raspberry Pi),PzKs31SjVQ0,4.27,"Jun 03, 2015",1,164,234,4,1.43,33.40,53,97,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,1,1,0,4,10,6,0,0,0
LibreOffice - Calc - Tabellen mit Themen formatieren,kmixCzEndRQ,2.00,"Mar 28, 2015",1,44,46,1,1.05,52.49,5,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0
Python-Programmierung - Reguläre Ausdrücke - Zeichenkunde,WR8rc4Y65Bc,9.63,"Feb 16, 2013",1,95,300,5,3.16,32.83,3,1,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Linktipp: 2 feine Tutorialsammlungen,dWQDbITfjtY,1.80,"Jun 28, 2015",1,105,117,2,1.12,62.07,63,72,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,4,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Vivaldi Browser - Demo,hb1dSzT5EnA,10.72,"Feb 18, 2015",1,318,380,6,1.20,11.16,28,37,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,2,7,5,0,0,0
Linux - Webbrowsing in der Konsole mit links2,3T0rQReakUI,2.30,"Feb 26, 2015",1,114,125,2,1.10,47.73,25,40,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,4,0,0,0,0,0,0,0,0,3,5,2,1,1,0
Manjaro Linux 0.8.8 Openbox - Demo,WYhyqtvlB9k,5.78,"Nov 27, 2013",1,219,204,3,0.93,16.13,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,0,0,-1,0,1,1,1,0
LibreOffice - Calc - Ausblenden und Anzeigen von Daten,MZF7uWcwqv0,2.67,"Jul 30, 2015",1,29,34,1,1.17,44.03,8,13,0,0,0.00,0,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Linux - SSHFS,bgd6iToEDy8,5.17,"Dec 14, 2011",1,47,71,1,1.51,29.29,1,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux - linux-dash (Web-Dashboard für Linux-Systeme),3gb3z-a7XfA,3.77,"Mar 06, 2014",1,293,364,6,1.24,32.99,1,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTML und CSS - Grundgerüst einer HTML-Seite,TbfOV-bBQIc,2.75,"Apr 02, 2015",1,43,43,1,0.99,36.07,18,25,0,0,0.00,0,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,2,4,2,0,0,0
hcJ9oeypS9g,hcJ9oeypS9g,,,1,3,8,0,2.80,61.05,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Vivaldi Browser (Linux),zGdD0NcQCOw,3.03,"Feb 18, 2015",1,156,167,3,1.07,35.22,23,47,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,3,5,2,1,1,0
GIMP - moderne und schicke Splashscreens,WFXia1a7zS8,2.37,"May 27, 2015",1,89,100,2,1.13,47.67,45,61,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,5,13,8,-1,0,1
ffmpeg - Videogrösse ändern,GwbPmKXlcco,4.05,"Apr 25, 2012",1,105,155,3,1.48,36.42,1,4,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
