country_name,country_id,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
Deutschland,DE,87522,52822,1.7,37.27,19,178,10.67,101,6805,1.48,148,6,4.05,0,0,0,67,2047,3.27,156,2109,7.40,2109,162,194,32,38,43,5,135,10,270,452,182,49,83,34,1459
Österreich,AT,7058,4406,1.6,34.82,0,42,0.00,22,654,3.36,10,0,0.00,0,0,0,5,153,3.27,14,157,8.92,157,17,19,2,0,3,3,4,1,23,37,14,4,8,4,118
Schweiz,CH,5276,3272,1.6,36.16,1,15,6.67,8,611,1.31,16,0,0.00,0,0,0,10,100,10.00,5,102,4.90,102,3,6,3,2,2,0,4,0,9,11,2,2,4,2,88
Vereinigte Staaten,US,4503,4400,1.0,20.48,0,2,0.00,1,108,0.93,16,2,12.50,170,194,3,1,343,0.29,22,345,6.38,345,5,6,1,4,8,4,5,1,12,16,4,3,4,1,75
Indien,IN,2689,2358,1.1,23.97,0,0,0.00,0,52,0.00,12,0,0.00,0,0,0,1,195,0.51,18,195,9.23,195,4,5,1,4,4,0,5,0,2,3,1,1,1,0,45
Brasilien,BR,2108,1709,1.2,25.40,0,0,0.00,0,40,0.00,3,0,0.00,0,0,0,0,61,0.00,4,70,5.71,70,9,9,0,2,2,0,1,0,3,4,1,3,3,0,35
Italien,IT,1979,1489,1.3,24.96,0,1,0.00,0,37,0.00,2,0,0.00,0,0,0,0,83,0.00,13,86,15.12,86,1,1,0,0,0,0,1,0,3,3,0,1,1,0,33
Frankreich,FR,1639,1367,1.2,24.47,0,2,0.00,2,35,5.71,6,0,0.00,0,0,0,1,52,1.92,2,52,3.85,52,2,2,0,0,0,0,1,0,2,5,3,0,0,0,27
Spanien,ES,1130,918,1.2,25.27,0,0,0.00,0,22,0.00,1,0,0.00,0,0,0,0,51,0.00,11,53,20.75,53,1,1,0,0,0,0,0,0,3,5,2,-1,0,1,19
Russland,RU,1093,1131,1.0,18.57,0,1,0.00,1,28,3.57,3,0,0.00,0,0,0,0,24,0.00,3,24,12.50,24,5,5,0,1,1,0,0,2,4,4,0,0,1,1,18
Vereinigtes Königreich,GB,1065,1028,1.0,20.16,0,0,0.00,0,30,0.00,2,0,0.00,0,0,0,0,47,0.00,2,47,4.26,47,3,3,0,2,2,0,1,0,3,3,0,2,2,0,18
Polen,PL,957,948,1.0,21.33,1,1,100.00,1,23,4.35,2,0,0.00,0,0,0,0,48,0.00,2,49,4.08,49,6,6,0,1,1,0,1,0,1,1,0,1,1,0,16
Niederlande,NL,908,702,1.3,26.50,0,0,0.00,0,27,0.00,2,0,0.00,0,0,0,0,27,0.00,3,27,11.11,27,1,1,0,1,1,0,0,0,6,6,0,0,0,0,15
Mexiko,MX,899,640,1.4,26.60,0,0,0.00,0,12,0.00,3,0,0.00,9,7,0,1,10,10.00,4,10,40.00,10,0,0,0,0,0,0,3,0,2,2,0,1,1,0,15
Kanada,CA,706,712,1.0,19.39,0,0,0.00,0,7,0.00,1,0,0.00,0,0,0,0,46,0.00,5,46,10.87,46,1,1,0,1,1,0,0,0,1,2,1,-1,0,1,12
Türkei,TR,640,671,1.0,21.29,0,0,0.00,0,24,0.00,3,0,0.00,0,0,0,0,25,0.00,3,25,12.00,25,1,1,0,1,2,1,3,0,4,4,0,2,3,1,11
Ukraine,UA,583,561,1.0,20.33,0,0,0.00,0,22,0.00,4,1,25.00,0,0,0,0,30,0.00,3,30,10.00,30,1,1,0,0,0,0,1,0,2,2,0,2,2,0,10
Japan,JP,538,391,1.4,27.14,0,0,0.00,0,5,0.00,0,0,0.00,0,0,0,0,5,0.00,1,5,20.00,5,0,0,0,1,1,0,1,0,3,3,0,0,0,0,9
Indonesien,ID,488,412,1.2,25.19,0,0,0.00,0,14,0.00,3,0,0.00,0,0,0,0,11,0.00,1,11,9.09,11,0,0,0,0,0,0,1,0,2,2,0,2,2,0,8
Argentinien,AR,451,350,1.3,23.44,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,1,12,8.33,3,12,25.00,12,3,3,0,1,1,0,0,0,0,0,0,0,0,0,8
Australien,AU,410,357,1.1,23.01,0,0,0.00,0,2,0.00,0,0,0.00,8,10,0,0,9,0.00,4,9,44.44,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
Kolumbien,CO,379,320,1.2,23.10,0,0,0.00,0,5,0.00,1,0,0.00,0,0,0,0,7,0.00,1,7,14.29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Belgien,BE,367,322,1.1,23.61,0,0,0.00,0,22,0.00,1,0,0.00,0,0,0,0,12,0.00,1,12,8.33,12,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
Thailand,TH,350,236,1.5,31.42,0,0,0.00,0,10,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6
Vietnam,VN,311,302,1.0,22.22,0,0,0.00,0,10,0.00,0,0,0.00,0,0,0,0,8,0.00,0,10,0.00,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5
Tschechien,CZ,306,305,1.0,20.91,0,0,0.00,0,6,0.00,1,0,0.00,0,0,0,1,48,2.08,12,48,25.00,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
Rumänien,RO,294,269,1.1,21.01,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,1,20,5.00,6,20,30.00,20,1,1,0,0,0,0,1,0,1,1,0,2,2,0,5
Schweden,SE,285,285,1.0,22.71,0,0,0.00,0,11,0.00,1,0,0.00,0,0,0,0,8,0.00,0,8,0.00,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5
Griechenland,GR,271,261,1.0,21.92,0,0,0.00,0,10,0.00,0,0,0.00,0,0,0,0,9,0.00,1,9,11.11,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Taiwan,TW,268,216,1.2,25.38,0,0,0.00,0,3,0.00,1,0,0.00,0,0,0,0,11,0.00,0,11,0.00,11,0,0,0,0,0,0,0,0,3,5,2,0,0,0,4
Südkorea,KR,257,227,1.1,24.74,0,0,0.00,0,9,0.00,3,1,33.33,3,7,0,0,4,0.00,0,4,0.00,4,1,1,0,0,0,0,0,0,1,1,0,1,1,0,4
Philippinen,PH,254,200,1.3,25.41,0,0,0.00,0,6,0.00,1,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Ungarn,HU,238,237,1.0,20.41,0,0,0.00,0,8,0.00,0,0,0.00,0,0,0,0,9,0.00,3,9,33.33,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
Portugal,PT,232,221,1.0,21.15,0,0,0.00,0,4,0.00,1,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Marokko,MA,231,210,1.1,22.72,0,2,0.00,0,11,0.00,0,0,0.00,0,0,0,0,5,0.00,1,5,20.00,5,2,2,0,0,0,0,0,0,0,0,0,1,1,0,4
Algerien,DZ,230,217,1.1,22.57,0,0,0.00,0,9,0.00,1,0,0.00,0,0,0,0,4,0.00,1,4,25.00,4,1,1,0,0,0,0,0,0,1,1,0,1,1,0,4
Unbekannte Region,ZZ,215,146,1.5,30.24,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,28,0,0,0,-3,0,3,4
Peru,PE,214,182,1.2,21.92,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,1,5,20.00,0,5,0.00,5,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4
Chile,CL,203,189,1.1,20.70,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,0,7,0.00,1,7,14.29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Venezuela,VE,193,128,1.5,27.61,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
Finnland,FI,187,175,1.1,24.16,0,0,0.00,0,10,0.00,1,0,0.00,0,0,0,0,6,0.00,0,7,0.00,7,0,0,0,0,0,0,0,0,4,4,0,1,1,0,3
Malaysia,MY,182,153,1.2,27.03,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,11,0.00,0,11,0.00,11,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3
Luxemburg,LU,177,139,1.3,30.21,0,0,0.00,0,15,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Dänemark,DK,168,162,1.0,22.27,0,0,0.00,0,6,0.00,1,0,0.00,0,0,0,0,33,0.00,0,33,0.00,33,1,1,0,0,0,0,0,0,2,2,0,0,0,0,3
Ägypten,EG,165,161,1.0,23.52,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,3,3,0,0,0,0,1,1,-1,0,1,3
Saudi-Arabien,SA,152,147,1.0,22.98,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Pakistan,PK,152,163,0.9,20.06,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,8,0.00,3,8,37.50,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Bulgarien,BG,151,140,1.1,20.50,0,0,0.00,0,7,0.00,0,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,3
Singapur,SG,150,211,0.7,19.94,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,15,0.00,2,15,13.33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Serbien,RS,148,168,0.9,16.97,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Bangladesch,BD,147,128,1.1,21.84,0,0,0.00,0,5,0.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
Neuseeland,NZ,144,119,1.2,24.10,0,0,0.00,0,2,0.00,1,0,0.00,1,3,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Israel,IL,143,208,0.7,16.92,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,31,0.00,3,31,9.68,31,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2
Norwegen,NO,140,123,1.1,24.61,0,0,0.00,0,5,0.00,1,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ecuador,EC,138,98,1.4,28.34,0,0,0.00,0,7,0.00,0,0,0.00,0,0,0,0,1,0.00,1,1,100.00,1,0,1,1,0,0,0,0,0,0,0,0,-1,0,1,2
Südafrika,ZA,138,93,1.5,25.83,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Slowakei,SK,117,110,1.1,22.96,0,0,0.00,0,1,0.00,1,0,0.00,0,0,0,0,6,0.00,4,6,66.67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tunesien,TN,108,98,1.1,25.97,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,0,5,0.00,0,5,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Irland,IE,103,105,1.0,19.80,0,0,0.00,0,2,0.00,1,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Hongkong,HK,91,96,0.9,19.79,0,0,0.00,0,2,0.00,2,0,0.00,0,0,0,0,7,0.00,0,7,0.00,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Mazedonien (EJR),MK,88,98,0.9,21.18,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
El Salvador,SV,88,54,1.6,29.42,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kroatien,HR,87,102,0.9,17.40,0,2,0.00,2,2,100.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1
Belarus,BY,81,89,0.9,17.85,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,6,0.00,0,6,0.00,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Vereinigte Arabische Emirate,AE,76,70,1.1,22.32,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kenia,KE,70,71,1.0,18.58,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Dominikanische Republik,DO,64,49,1.3,25.09,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,1,0.00,1,1,100.00,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Bosnien und Herzegowina,BA,63,57,1.1,21.49,0,0,0.00,0,4,0.00,0,0,0.00,0,0,0,0,0,0.00,1,1,100.00,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Kamerun,CM,56,29,1.9,39.63,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
Slowenien,SI,56,54,1.0,24.56,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Irak,IQ,55,66,0.8,17.23,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,1
Sri Lanka,LK,53,43,1.2,24.46,0,0,0.00,0,2,0.00,1,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Bolivien,BO,52,28,1.8,34.30,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paraguay,PY,51,28,1.8,39.75,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Panama,PA,47,41,1.2,28.50,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Costa Rica,CR,47,42,1.1,24.25,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Uruguay,UY,46,39,1.2,26.57,0,0,0.00,0,1,0.00,1,0,0.00,0,0,0,0,1,0.00,1,1,100.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Litauen,LT,44,65,0.7,15.48,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jemen,YE,42,78,0.5,13.00,0,0,0.00,0,8,0.00,0,0,0.00,0,0,0,0,44,0.00,0,44,0.00,44,0,0,0,0,0,0,0,0,18,36,18,0,0,0,1
Nepal,NP,42,40,1.1,19.40,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lettland,LV,38,39,1.0,18.22,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1
Albanien,AL,35,32,1.1,22.08,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Côte d’Ivoire,CI,35,22,1.6,34.47,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kambodscha,KH,34,34,1.0,20.52,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senegal,SN,33,11,3.0,60.22,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Estland,EE,31,34,0.9,19.43,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nigeria,NG,31,27,1.2,24.55,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
